gene_name,promoter_type,gene_type,metric,value
RN7SL487P,Type 2,Pseudogene,Motif count,21
RN7SL488P,Type 1,Pseudogene,Motif count,9
RN7SL488P,Type 2,Pseudogene,Motif count,27
RN7SL488P,Type 3,Pseudogene,Motif count,28
RN7SL48P,Type 1,Pseudogene,Motif count,13
RN7SL48P,Type 2,Pseudogene,Motif count,25
RN7SL491P,Type 1,Pseudogene,Motif count,2
RN7SL491P,Type 2,Pseudogene,Motif count,27
RN7SL491P,Type 3,Pseudogene,Motif count,28
RN7SL492P,Type 1,Pseudogene,Motif count,7
RN7SL492P,Type 2,Pseudogene,Motif count,21
RN7SL493P,Type 1,Pseudogene,Motif count,4
RN7SL496P,Type 1,Pseudogene,Motif count,2
RN7SL497P,Type 1,Pseudogene,Motif count,2
RN7SL499P,Type 1,Pseudogene,Motif count,4
RN7SL4P,Type 1,Pseudogene,Motif count,4
RN7SL503P,Type 1,Pseudogene,Motif count,2
RN7SL504P,Type 1,Pseudogene,Motif count,5
RN7SL505P,Type 1,Pseudogene,Motif count,9
RN7SL507P,Type 1,Pseudogene,Motif count,10
RN7SL509P,Type 1,Pseudogene,Motif count,2
RN7SL510P,Type 1,Pseudogene,Motif count,10
RN7SL510P,Type 2,Pseudogene,Motif count,26
RN7SL510P,Type 3,Pseudogene,Motif count,28
RN7SL516P,Type 1,Pseudogene,Motif count,2
RN7SL517P,Type 1,Pseudogene,Motif count,4
RN7SL519P,Type 1,Pseudogene,Motif count,6
RN7SL520P,Type 1,Pseudogene,Motif count,4
RN7SL523P,Type 1,Pseudogene,Motif count,10
RN7SL524P,Type 1,Pseudogene,Motif count,6
RN7SL524P,Type 2,Pseudogene,Motif count,28
RN7SL524P,Type 3,Pseudogene,Motif count,30
RN7SL525P,Type 1,Pseudogene,Motif count,8
RN7SL525P,Type 2,Pseudogene,Motif count,28
RN7SL525P,Type 3,Pseudogene,Motif count,29
RN7SL526P,Type 1,Pseudogene,Motif count,8
RN7SL52P,Type 1,Pseudogene,Motif count,4
RN7SL530P,Type 1,Pseudogene,Motif count,5
RN7SL531P,Type 1,Pseudogene,Motif count,10
RN7SL535P,Type 1,Pseudogene,Motif count,3
RN7SL542P,Type 1,Pseudogene,Motif count,2
RN7SL543P,Type 1,Pseudogene,Motif count,3
RN7SL546P,Type 1,Pseudogene,Motif count,2
RN7SL551P,Type 1,Pseudogene,Motif count,7
RN7SL552P,Type 1,Pseudogene,Motif count,2
RN7SL553P,Type 1,Pseudogene,Motif count,6
RN7SL555P,Type 1,Pseudogene,Motif count,8
RN7SL556P,Type 1,Pseudogene,Motif count,3
RN7SL557P,Type 1,Pseudogene,Motif count,9
RN7SL559P,Type 1,Pseudogene,Motif count,4
RN7SL560P,Type 1,Pseudogene,Motif count,2
RN7SL560P,Type 2,Pseudogene,Motif count,22
RN7SL561P,Type 1,Pseudogene,Motif count,1
RN7SL563P,Type 1,Pseudogene,Motif count,7
RN7SL565P,Type 1,Pseudogene,Motif count,4
RN7SL567P,Type 1,Pseudogene,Motif count,1
RN7SL568P,Type 1,Pseudogene,Motif count,4
RN7SL574P,Type 1,Pseudogene,Motif count,4
RN7SL577P,Type 1,Pseudogene,Motif count,4
RN7SL57P,Type 1,Pseudogene,Motif count,2
RN7SL581P,Type 1,Pseudogene,Motif count,3
RN7SL582P,Type 1,Pseudogene,Motif count,4
RN7SL584P,Type 1,Pseudogene,Motif count,5
RN7SL586P,Type 1,Pseudogene,Motif count,6
RN7SL587P,Type 1,Pseudogene,Motif count,2
RN7SL589P,Type 1,Pseudogene,Motif count,3
RN7SL592P,Type 1,Pseudogene,Motif count,12
RN7SL596P,Type 1,Pseudogene,Motif count,2
RN7SL596P,Type 2,Pseudogene,Motif count,26
RN7SL596P,Type 3,Pseudogene,Motif count,28
RN7SL600P,Type 1,Pseudogene,Motif count,10
RN7SL601P,Type 1,Pseudogene,Motif count,3
RN7SL602P,Type 1,Pseudogene,Motif count,7
RN7SL602P,Type 2,Pseudogene,Motif count,27
RN7SL602P,Type 3,Pseudogene,Motif count,30
RN7SL604P,Type 1,Pseudogene,Motif count,1
RN7SL605P,Type 1,Pseudogene,Motif count,8
RN7SL607P,Type 1,Pseudogene,Motif count,1
RN7SL60P,Type 1,Pseudogene,Motif count,5
RN7SL610P,Type 1,Pseudogene,Motif count,8
RN7SL610P,Type 2,Pseudogene,Motif count,22
RN7SL612P,Type 1,Pseudogene,Motif count,4
RN7SL614P,Type 1,Pseudogene,Motif count,4
RN7SL617P,Type 1,Pseudogene,Motif count,4
RN7SL619P,Type 1,Pseudogene,Motif count,7
RN7SL619P,Type 2,Pseudogene,Motif count,26
RN7SL622P,Type 1,Pseudogene,Motif count,4
RN7SL622P,Type 2,Pseudogene,Motif count,27
RN7SL622P,Type 3,Pseudogene,Motif count,27
RN7SL624P,Type 1,Pseudogene,Motif count,3
RN7SL624P,Type 2,Pseudogene,Motif count,27
RN7SL624P,Type 3,Pseudogene,Motif count,28
RN7SL625P,Type 1,Pseudogene,Motif count,7
RN7SL627P,Type 1,Pseudogene,Motif count,3
RN7SL62P,Type 1,Pseudogene,Motif count,4
RN7SL633P,Type 1,Pseudogene,Motif count,5
RN7SL634P,Type 1,Pseudogene,Motif count,4
RN7SL635P,Type 1,Pseudogene,Motif count,4
RN7SL636P,Type 1,Pseudogene,Motif count,4
RN7SL640P,Type 1,Pseudogene,Motif count,1
RN7SL643P,Type 1,Pseudogene,Motif count,2
RN7SL644P,Type 1,Pseudogene,Motif count,3
RN7SL644P,Type 2,Pseudogene,Motif count,27
RN7SL644P,Type 3,Pseudogene,Motif count,28
RN7SL645P,Type 1,Pseudogene,Motif count,2
RN7SL648P,Type 1,Pseudogene,Motif count,3
RN7SL649P,Type 1,Pseudogene,Motif count,2
RN7SL650P,Type 1,Pseudogene,Motif count,5
RN7SL650P,Type 2,Pseudogene,Motif count,21
RN7SL658P,Type 1,Pseudogene,Motif count,4
RN7SL659P,Type 1,Pseudogene,Motif count,3
RN7SL663P,Type 1,Pseudogene,Motif count,8
RN7SL664P,Type 1,Pseudogene,Motif count,5
RN7SL666P,Type 1,Pseudogene,Motif count,2
RN7SL667P,Type 1,Pseudogene,Motif count,9
RN7SL667P,Type 2,Pseudogene,Motif count,25
RN7SL667P,Type 3,Pseudogene,Motif count,28
RN7SL668P,Type 1,Pseudogene,Motif count,4
RN7SL66P,Type 1,Pseudogene,Motif count,6
RN7SL66P,Type 2,Pseudogene,Motif count,26
RN7SL66P,Type 3,Pseudogene,Motif count,28
RN7SL670P,Type 1,Pseudogene,Motif count,7
RN7SL670P,Type 2,Pseudogene,Motif count,24
RN7SL672P,Type 1,Pseudogene,Motif count,3
RN7SL676P,Type 1,Pseudogene,Motif count,12
RN7SL676P,Type 2,Pseudogene,Motif count,22
RN7SL679P,Type 1,Pseudogene,Motif count,3
RN7SL683P,Type 1,Pseudogene,Motif count,4
RN7SL685P,Type 1,Pseudogene,Motif count,3
RN7SL687P,Type 1,Pseudogene,Motif count,4
RN7SL68P,Type 1,Pseudogene,Motif count,7
RN7SL690P,Type 1,Pseudogene,Motif count,10
RN7SL691P,Type 1,Pseudogene,Motif count,9
RN7SL693P,Type 1,Pseudogene,Motif count,2
RN7SL693P,Type 2,Pseudogene,Motif count,27
RN7SL693P,Type 3,Pseudogene,Motif count,28
RN7SL69P,Type 1,Pseudogene,Motif count,7
RN7SL704P,Type 1,Pseudogene,Motif count,3
RN7SL709P,Type 1,Pseudogene,Motif count,8
RN7SL712P,Type 1,Pseudogene,Motif count,1
RN7SL714P,Type 1,Pseudogene,Motif count,2
RN7SL716P,Type 1,Pseudogene,Motif count,7
RN7SL716P,Type 2,Pseudogene,Motif count,24
RN7SL716P,Type 3,Pseudogene,Motif count,27
RN7SL717P,Type 1,Pseudogene,Motif count,3
RN7SL718P,Type 1,Pseudogene,Motif count,12
RN7SL718P,Type 2,Pseudogene,Motif count,28
RN7SL718P,Type 3,Pseudogene,Motif count,30
RN7SL720P,Type 1,Pseudogene,Motif count,2
RN7SL722P,Type 1,Pseudogene,Motif count,4
RN7SL724P,Type 1,Pseudogene,Motif count,8
RN7SL726P,Type 1,Pseudogene,Motif count,2
RN7SL727P,Type 1,Pseudogene,Motif count,3
RN7SL728P,Type 1,Pseudogene,Motif count,3
RN7SL733P,Type 1,Pseudogene,Motif count,7
RN7SL735P,Type 1,Pseudogene,Motif count,3
RN7SL738P,Type 1,Pseudogene,Motif count,4
RN7SL73P,Type 1,Pseudogene,Motif count,14
RN7SL73P,Type 2,Pseudogene,Motif count,24
RN7SL740P,Type 1,Pseudogene,Motif count,6
RN7SL740P,Type 2,Pseudogene,Motif count,22
RN7SL741P,Type 1,Pseudogene,Motif count,6
RN7SL744P,Type 1,Pseudogene,Motif count,8
RN7SL744P,Type 2,Pseudogene,Motif count,26
RN7SL744P,Type 3,Pseudogene,Motif count,29
RN7SL745P,Type 1,Pseudogene,Motif count,5
RN7SL745P,Type 2,Pseudogene,Motif count,21
RN7SL748P,Type 1,Pseudogene,Motif count,9
RN7SL74P,Type 1,Pseudogene,Motif count,4
RN7SL750P,Type 1,Pseudogene,Motif count,7
RN7SL750P,Type 2,Pseudogene,Motif count,23
RN7SL756P,Type 1,Pseudogene,Motif count,2
RN7SL757P,Type 1,Pseudogene,Motif count,3
RN7SL75P,Type 1,Pseudogene,Motif count,2
RN7SL762P,Type 1,Pseudogene,Motif count,4
RN7SL764P,Type 1,Pseudogene,Motif count,6
RN7SL769P,Type 1,Pseudogene,Motif count,6
RN7SL771P,Type 1,Pseudogene,Motif count,4
RN7SL774P,Type 1,Pseudogene,Motif count,8
RN7SL774P,Type 2,Pseudogene,Motif count,28
RN7SL774P,Type 3,Pseudogene,Motif count,28
RN7SL775P,Type 1,Pseudogene,Motif count,9
RN7SL782P,Type 1,Pseudogene,Motif count,6
RN7SL784P,Type 1,Pseudogene,Motif count,6
RN7SL784P,Type 2,Pseudogene,Motif count,31
RN7SL784P,Type 3,Pseudogene,Motif count,31
RN7SL785P,Type 1,Pseudogene,Motif count,8
RN7SL786P,Type 1,Pseudogene,Motif count,7
RN7SL787P,Type 1,Pseudogene,Motif count,4
RN7SL788P,Type 1,Pseudogene,Motif count,3
RN7SL789P,Type 1,Pseudogene,Motif count,6
RN7SL790P,Type 1,Pseudogene,Motif count,8
RN7SL794P,Type 1,Pseudogene,Motif count,3
RN7SL795P,Type 1,Pseudogene,Motif count,3
RN7SL797P,Type 1,Pseudogene,Motif count,3
RN7SL798P,Type 1,Pseudogene,Motif count,7
RN7SL79P,Type 1,Pseudogene,Motif count,4
RN7SL800P,Type 1,Pseudogene,Motif count,4
RN7SL802P,Type 1,Pseudogene,Motif count,1
RN7SL803P,Type 1,Pseudogene,Motif count,6
RN7SL804P,Type 1,Pseudogene,Motif count,2
RN7SL809P,Type 1,Pseudogene,Motif count,2
RN7SL811P,Type 1,Pseudogene,Motif count,4
RN7SL811P,Type 2,Pseudogene,Motif count,28
RN7SL811P,Type 3,Pseudogene,Motif count,27
RN7SL813P,Type 1,Pseudogene,Motif count,4
RN7SL814P,Type 1,Pseudogene,Motif count,2
RN7SL815P,Type 1,Pseudogene,Motif count,2
RN7SL819P,Type 1,Pseudogene,Motif count,4
RN7SL819P,Type 2,Pseudogene,Motif count,21
RN7SL820P,Type 1,Pseudogene,Motif count,6
RN7SL823P,Type 1,Pseudogene,Motif count,4
RN7SL824P,Type 1,Pseudogene,Motif count,3
RN7SL825P,Type 1,Pseudogene,Motif count,3
RN7SL827P,Type 1,Pseudogene,Motif count,2
RN7SL828P,Type 1,Pseudogene,Motif count,6
RN7SL831P,Type 1,Pseudogene,Motif count,5
RN7SL832P,Type 1,Pseudogene,Motif count,13
RN7SL832P,Type 2,Pseudogene,Motif count,44
RN7SL832P,Type 3,Pseudogene,Motif count,55
RN7SL833P,Type 1,Pseudogene,Motif count,4
RN7SL835P,Type 1,Pseudogene,Motif count,11
RN7SL835P,Type 2,Pseudogene,Motif count,27
RN7SL836P,Type 1,Pseudogene,Motif count,5
RN7SL836P,Type 2,Pseudogene,Motif count,21
RN7SL845P,Type 1,Pseudogene,Motif count,4
RN7SL846P,Type 1,Pseudogene,Motif count,7
RN7SL847P,Type 1,Pseudogene,Motif count,13
RN7SL847P,Type 2,Pseudogene,Motif count,26
RN7SL850P,Type 1,Pseudogene,Motif count,4
RN7SL850P,Type 2,Pseudogene,Motif count,27
RN7SL850P,Type 3,Pseudogene,Motif count,29
RN7SL851P,Type 1,Pseudogene,Motif count,4
RN7SL854P,Type 1,Pseudogene,Motif count,5
RN7SL856P,Type 1,Pseudogene,Motif count,4
RN7SL863P,Type 1,Pseudogene,Motif count,2
RN7SL865P,Type 1,Pseudogene,Motif count,7
RN7SL870P,Type 1,Pseudogene,Motif count,2
RN7SL88P,Type 1,Pseudogene,Motif count,1
RN7SL91P,Type 1,Pseudogene,Motif count,4
RN7SL92P,Type 1,Pseudogene,Motif count,13
RN7SL92P,Type 2,Pseudogene,Motif count,28
RN7SL96P,Type 1,Pseudogene,Motif count,13
RN7SL96P,Type 2,Pseudogene,Motif count,28
RN7SL97P,Type 1,Pseudogene,Motif count,5
RN7SL98P,Type 1,Pseudogene,Motif count,2
RNU7-1,Type 1,Functional,Motif count,23
RNU7-1,Type 2,Functional,Motif count,177
RNU7-1,Type 3,Functional,Motif count,172
RNU7-115P,Type 1,Pseudogene,Motif count,5
RNU7-126P,Type 1,Pseudogene,Motif count,2
RNU7-12P,Type 1,Pseudogene,Motif count,2
RNU7-138P,Type 1,Pseudogene,Motif count,2
RNU7-149P,Type 1,Pseudogene,Motif count,3
RNU7-170P,Type 1,Pseudogene,Motif count,2
RNU7-176P,Type 1,Pseudogene,Motif count,2
RNU7-179P,Type 1,Pseudogene,Motif count,3
RNU7-193P,Type 1,Pseudogene,Motif count,2
RNU7-33P,Type 1,Pseudogene,Motif count,2
RNU7-56P,Type 1,Pseudogene,Motif count,2
RNU7-72P,Type 1,Pseudogene,Motif count,2
RN7SK,Type 1,Functional,Motif count,97
RN7SK,Type 2,Functional,Motif count,431
RN7SK,Type 3,Functional,Motif count,3187
RN7SKP1,Type 1,Pseudogene,Motif count,20
RN7SKP1,Type 2,Pseudogene,Motif count,113
RN7SKP1,Type 3,Pseudogene,Motif count,1223
RN7SKP10,Type 3,Pseudogene,Motif count,115
RN7SKP11,Type 1,Pseudogene,Motif count,2
RN7SKP11,Type 3,Pseudogene,Motif count,121
RN7SKP117,Type 1,Pseudogene,Motif count,2
RN7SKP12,Type 1,Pseudogene,Motif count,7
RN7SKP12,Type 3,Pseudogene,Motif count,113
RN7SKP123,Type 1,Pseudogene,Motif count,7
RN7SKP13,Type 3,Pseudogene,Motif count,82
RN7SKP14,Type 3,Pseudogene,Motif count,140
RN7SKP15,Type 1,Pseudogene,Motif count,4
RN7SKP15,Type 3,Pseudogene,Motif count,119
RN7SKP150,Type 1,Pseudogene,Motif count,4
RN7SKP16,Type 3,Pseudogene,Motif count,131
RN7SKP17,Type 1,Pseudogene,Motif count,7
RN7SKP17,Type 2,Pseudogene,Motif count,30
RN7SKP17,Type 3,Pseudogene,Motif count,144
RN7SKP177,Type 1,Pseudogene,Motif count,5
RN7SKP178,Type 1,Pseudogene,Motif count,2
RN7SKP18,Type 3,Pseudogene,Motif count,123
RN7SKP19,Type 3,Pseudogene,Motif count,121
RN7SKP2,Type 1,Pseudogene,Motif count,57
RN7SKP2,Type 2,Pseudogene,Motif count,212
RN7SKP2,Type 3,Pseudogene,Motif count,1172
RN7SKP20,Type 1,Pseudogene,Motif count,2
RN7SKP20,Type 3,Pseudogene,Motif count,116
RN7SKP21,Type 3,Pseudogene,Motif count,103
RN7SKP22,Type 1,Pseudogene,Motif count,9
RN7SKP22,Type 2,Pseudogene,Motif count,29
RN7SKP22,Type 3,Pseudogene,Motif count,133
RN7SKP224,Type 1,Pseudogene,Motif count,6
RN7SKP23,Type 1,Pseudogene,Motif count,27
RN7SKP23,Type 2,Pseudogene,Motif count,73
RN7SKP23,Type 3,Pseudogene,Motif count,170
RN7SKP24,Type 3,Pseudogene,Motif count,92
RN7SKP25,Type 1,Pseudogene,Motif count,5
RN7SKP25,Type 3,Pseudogene,Motif count,124
RN7SKP259,Type 1,Pseudogene,Motif count,5
RN7SKP26,Type 1,Pseudogene,Motif count,7
RN7SKP26,Type 2,Pseudogene,Motif count,26
RN7SKP26,Type 3,Pseudogene,Motif count,126
RN7SKP264,Type 1,Pseudogene,Motif count,3
RN7SKP269,Type 1,Pseudogene,Motif count,4
RN7SKP27,Type 1,Pseudogene,Motif count,4
RN7SKP27,Type 2,Pseudogene,Motif count,21
RN7SKP27,Type 3,Pseudogene,Motif count,99
RN7SKP271,Type 1,Pseudogene,Motif count,4
RN7SKP28,Type 1,Pseudogene,Motif count,1
RN7SKP28,Type 3,Pseudogene,Motif count,102
RN7SKP286,Type 1,Pseudogene,Motif count,1
RN7SKP29,Type 1,Pseudogene,Motif count,2
RN7SKP29,Type 3,Pseudogene,Motif count,107
RN7SKP290,Type 1,Pseudogene,Motif count,2
RN7SKP3,Type 1,Pseudogene,Motif count,4
RN7SKP3,Type 3,Pseudogene,Motif count,107
RN7SKP4,Type 1,Pseudogene,Motif count,5
RN7SKP4,Type 3,Pseudogene,Motif count,74
RN7SKP5,Type 3,Pseudogene,Motif count,110
RN7SKP6,Type 2,Pseudogene,Motif count,22
RN7SKP6,Type 3,Pseudogene,Motif count,116
RN7SKP7,Type 1,Pseudogene,Motif count,6
RN7SKP7,Type 2,Pseudogene,Motif count,21
RN7SKP7,Type 3,Pseudogene,Motif count,150
RN7SKP71,Type 1,Pseudogene,Motif count,4
RN7SKP78,Type 1,Pseudogene,Motif count,2
RN7SKP8,Type 3,Pseudogene,Motif count,107
RN7SKP9,Type 1,Pseudogene,Motif count,5
RN7SKP9,Type 3,Pseudogene,Motif count,117
RN7SKP98,Type 1,Pseudogene,Motif count,5
RNU1-1,Type 1,Functional,Score,14.5138
RNU1-1,Type 3,Functional,Score,43.2523
RNU1-100P,Type 1,Pseudogene,Score,15.3409
RNU1-134P,Type 2,Pseudogene,Score,108.527
RNU1-148P,Type 1,Pseudogene,Score,13.6867
RNU1-3,Type 3,Functional,Score,34.881100000000004
RNU1-4,Type 3,Functional,Score,48.3256
RNU1-51P,Type 1,Pseudogene,Score,17.3685
RNU1-55P,Type 1,Pseudogene,Score,13.6867
RNU1-62P,Type 1,Pseudogene,Score,13.6867
RNU1-77P,Type 1,Pseudogene,Score,13.7069
RNU2-1,Type 1,Functional,Score,15.5818
RNU2-1,Type 3,Functional,Score,59.43615
RNU2-14P,Type 1,Pseudogene,Score,15.826
RNU2-18P,Type 1,Pseudogene,Score,15.3376
RNU2-18P,Type 2,Pseudogene,Score,132.275
RNU2-22P,Type 1,Pseudogene,Score,28.9618
RNU2-24P,Type 1,Pseudogene,Score,20.3609
RNU2-24P,Type 2,Pseudogene,Score,129.906
RNU2-26P,Type 1,Pseudogene,Score,21.9996
RNU2-2,Type 1,Functional,Score,23.7741
RNU2-2,Type 2,Functional,Score,87.44003333333332
RNU2-2,Type 3,Functional,Score,71.09866666666666
RNU2-30P,Type 1,Pseudogene,Score,21.42035
RNU2-30P,Type 2,Pseudogene,Score,175.84
RNU2-30P,Type 3,Pseudogene,Score,144.007
RNU2-36P,Type 1,Pseudogene,Score,21.9996
RNU2-36P,Type 2,Pseudogene,Score,164.18
RNU2-4P,Type 1,Pseudogene,Score,14.9212
RNU2-57P,Type 1,Pseudogene,Score,20.8878
RNU2-58P,Type 1,Pseudogene,Score,29.3119
RNU2-61P,Type 1,Pseudogene,Score,13.7069
RNU2-65P,Type 1,Pseudogene,Score,25.1734
RNU2-65P,Type 2,Pseudogene,Score,149.847
RNU2-69P,Type 1,Pseudogene,Score,14.4768
RNU2-6P,Type 1,Pseudogene,Score,16.3118
RNU4-1,Type 1,Functional,Score,14.4446
RNU4-1,Type 3,Functional,Score,45.36875
RNU4-14P,Type 1,Pseudogene,Score,14.4446
RNU4-2,Type 1,Functional,Score,13.972633333333334
RNU4-2,Type 3,Functional,Score,62.269875000000006
RNU4-21P,Type 1,Pseudogene,Score,13.6867
RNU4-28P,Type 1,Pseudogene,Score,14.1156
RNU4-30P,Type 1,Pseudogene,Score,14.7803
RNU4-34P,Type 1,Pseudogene,Score,15.8989
RNU4-39P,Type 1,Pseudogene,Score,23.0879
RNU4-39P,Type 2,Pseudogene,Score,128.046
RNU4-47P,Type 1,Pseudogene,Score,18.2679
RNU4-52P,Type 1,Pseudogene,Score,15.2353
RNU4-68P,Type 1,Pseudogene,Score,16.89415
RNU4-86P,Type 1,Pseudogene,Score,24.1954
RNU4-90P,Type 1,Pseudogene,Score,15.7882
RNU5A-3P,Type 1,Pseudogene,Score,13.6867
RNU5E-1,Type 3,Functional,Score,43.6938
RNU5E-2P,Type 1,Pseudogene,Score,13.6867
RNU5E-5P,Type 1,Pseudogene,Score,15.6264
RNU5F-4P,Type 1,Pseudogene,Score,17.6745
RNU6-1,Type 1,Functional,Score,17.359496721311476
RNU6-1,Type 3,Functional,Score,67.71495507246378
RNU6-1003P,Type 1,Pseudogene,Score,16.567
RNU6-1007P,Type 1,Pseudogene,Score,21.0468
RNU6-1010P,Type 1,Pseudogene,Score,22.6926
RNU6-1020P,Type 1,Pseudogene,Score,15.6264
RNU6-1022P,Type 1,Pseudogene,Score,14.6877
RNU6-1028P,Type 1,Pseudogene,Score,14.8965
RNU6-1041P,Type 1,Pseudogene,Score,15.5326
RNU6-1056P,Type 1,Pseudogene,Score,16.2584
RNU6-1057P,Type 1,Pseudogene,Score,14.8965
RNU6-1069P,Type 1,Pseudogene,Score,18.5236
RNU6-106P,Type 1,Pseudogene,Score,15.4617
RNU6-106P,Type 3,Pseudogene,Score,138.309
RNU6-1083P,Type 1,Pseudogene,Score,17.5356
RNU6-1083P,Type 3,Pseudogene,Score,155.942
RNU6-1085P,Type 1,Pseudogene,Score,17.3435
RNU6-1088P,Type 1,Pseudogene,Score,13.6867
RNU6-1091P,Type 1,Pseudogene,Score,22.4286
RNU6-1092P,Type 1,Pseudogene,Score,13.6867
RNU6-1093P,Type 1,Pseudogene,Score,14.0532
RNU6-1095P,Type 1,Pseudogene,Score,15.7244
RNU6-10P,Type 1,Pseudogene,Score,19.0497
RNU6-1101P,Type 1,Pseudogene,Score,22.1248
RNU6-1106P,Type 1,Pseudogene,Score,22.7726
RNU6-1114P,Type 1,Pseudogene,Score,13.7445
RNU6-1121P,Type 1,Pseudogene,Score,20.442
RNU6-1122P,Type 1,Pseudogene,Score,13.95
RNU6-1133P,Type 1,Pseudogene,Score,16.4605
RNU6-1138P,Type 1,Pseudogene,Score,17.3685
RNU6-1139P,Type 1,Pseudogene,Score,13.6867
RNU6-1151P,Type 1,Pseudogene,Score,17.026
RNU6-1155P,Type 1,Pseudogene,Score,14.3443
RNU6-1162P,Type 1,Pseudogene,Score,13.6867
RNU6-1169P,Type 1,Pseudogene,Score,17.3685
RNU6-1178P,Type 1,Pseudogene,Score,23.8055
RNU6-1187P,Type 3,Pseudogene,Score,146.334
RNU6-1196P,Type 1,Pseudogene,Score,16.7583
RNU6-1201P,Type 1,Pseudogene,Score,15.7485
RNU6-1205P,Type 1,Pseudogene,Score,19.9203
RNU6-1213P,Type 1,Pseudogene,Score,14.8965
RNU6-1223P,Type 1,Pseudogene,Score,13.6867
RNU6-1238P,Type 1,Pseudogene,Score,15.6264
RNU6-1242P,Type 1,Pseudogene,Score,13.6867
RNU6-1245P,Type 1,Pseudogene,Score,13.9709
RNU6-1255P,Type 1,Pseudogene,Score,29.8987
RNU6-1266P,Type 1,Pseudogene,Score,13.6867
RNU6-1273P,Type 1,Pseudogene,Score,14.8965
RNU6-1274P,Type 1,Pseudogene,Score,19.4608
RNU6-1298P,Type 1,Pseudogene,Score,25.907
RNU6-1304P,Type 1,Pseudogene,Score,13.6867
RNU6-1304P,Type 3,Pseudogene,Score,152.492
RNU6-1306P,Type 1,Pseudogene,Score,15.613
RNU6-1315P,Type 1,Pseudogene,Score,18.8227
RNU6-1322P,Type 1,Pseudogene,Score,15.2095
RNU6-1322P,Type 2,Pseudogene,Score,121.293
RNU6-1328P,Type 1,Pseudogene,Score,13.6867
RNU6-132P,Type 1,Pseudogene,Score,19.7204
RNU6-1335P,Type 1,Pseudogene,Score,17.3685
RNU6-136P,Type 1,Pseudogene,Score,17.0328
RNU6-140P,Type 3,Pseudogene,Score,143.309
RNU6-143P,Type 1,Pseudogene,Score,18.2104
RNU6-169P,Type 1,Pseudogene,Score,25.8514
RNU6-178P,Type 1,Pseudogene,Score,20.681
RNU6-179P,Type 1,Pseudogene,Score,14.9593
RNU6-181P,Type 1,Pseudogene,Score,22.409
RNU6-192P,Type 1,Pseudogene,Score,22.6807
RNU6-194P,Type 1,Pseudogene,Score,13.6867
RNU6-2,Type 1,Functional,Score,18.45623571428572
RNU6-2,Type 3,Functional,Score,67.76587692307693
RNU6-206P,Type 1,Pseudogene,Score,24.0956
RNU6-20P,Type 1,Pseudogene,Score,16.5167
RNU6-20P,Type 3,Pseudogene,Score,138.959
RNU6-210P,Type 1,Pseudogene,Score,14.9957
RNU6-216P,Type 1,Pseudogene,Score,13.6867
RNU6-218P,Type 1,Pseudogene,Score,19.1992
RNU6-222P,Type 1,Pseudogene,Score,17.3685
RNU6-222P,Type 3,Pseudogene,Score,138.742
RNU6-225P,Type 1,Pseudogene,Score,13.6867
RNU6-229P,Type 1,Pseudogene,Score,15.8496
RNU6-232P,Type 1,Pseudogene,Score,22.2599
RNU6-233P,Type 1,Pseudogene,Score,21.5153
RNU6-233P,Type 2,Pseudogene,Score,134.635
RNU6-233P,Type 3,Pseudogene,Score,197.308
RNU6-23P,Type 1,Pseudogene,Score,14.0414
RNU6-23P,Type 3,Pseudogene,Score,138.182
RNU6-245P,Type 1,Pseudogene,Score,21.4345
RNU6-264P,Type 1,Pseudogene,Score,22.2222
RNU6-318P,Type 1,Pseudogene,Score,18.5803
RNU6-31P,Type 1,Pseudogene,Score,16.2129
RNU6-31P,Type 3,Pseudogene,Score,146.452
RNU6-333P,Type 1,Pseudogene,Score,16.3624
RNU6-369P,Type 1,Pseudogene,Score,13.6867
RNU6-379P,Type 1,Pseudogene,Score,14.0637
RNU6-37P,Type 1,Pseudogene,Score,13.6867
RNU6-37P,Type 3,Pseudogene,Score,146.571
RNU6-405P,Type 1,Pseudogene,Score,17.742
RNU6-406P,Type 1,Pseudogene,Score,13.6867
RNU6-41P,Type 1,Pseudogene,Score,17.3685
RNU6-41P,Type 3,Pseudogene,Score,139.629
RNU6-421P,Type 1,Pseudogene,Score,16.3907
RNU6-430P,Type 1,Pseudogene,Score,16.9089
RNU6-434P,Type 3,Pseudogene,Score,146.309
RNU6-450P,Type 1,Pseudogene,Score,18.4584
RNU6-451P,Type 1,Pseudogene,Score,37.7171
RNU6-454P,Type 1,Pseudogene,Score,13.6867
RNU6-467P,Type 1,Pseudogene,Score,18.1737
RNU6-492P,Type 1,Pseudogene,Score,19.8273
RNU6-501P,Type 1,Pseudogene,Score,14.0836
RNU6-502P,Type 1,Pseudogene,Score,16.645
RNU6-509P,Type 1,Pseudogene,Score,16.4019
RNU6-516P,Type 1,Pseudogene,Score,19.1329
RNU6-517P,Type 1,Pseudogene,Score,15.4875
RNU6-518P,Type 1,Pseudogene,Score,16.8913
RNU6-519P,Type 1,Pseudogene,Score,14.0562
RNU6-529P,Type 1,Pseudogene,Score,14.3804
RNU6-529P,Type 3,Pseudogene,Score,146.655
RNU6-543P,Type 1,Pseudogene,Score,14.2243
RNU6-547P,Type 1,Pseudogene,Score,22.5953
RNU6-549P,Type 1,Pseudogene,Score,13.6867
