"Gene","PhastCons30_median","PhyloP100_median","PhyloP447_median","GTEX_max","ENCODE_max","Gene_Type","Gene_group","PC1","PC2","PC3","PC4","PC5"
"RNU6-139P",0.00499999988824129,-0.13849999755621,0.0299999993294477,0,0,"Pseudogene","RNU6",0.749600342216119,-0.0587463258807092,0.0369213588010315,-0.137726020374418,0.280628567386827
"RNU6-13P",0.171000003814697,0.0610000006854534,0.0689999982714653,4,0,"Pseudogene","RNU6",-0.104514449998124,-0.266015779143267,0.0123466064442346,-0.548080096831448,-0.307804110439663
"RNU6-140P",0.0975000001490116,0.0549999997019768,0.354999989271164,8,3.82,"Pseudogene","RNU6",-0.157846909242934,-0.290364617355681,0.0145263811931196,-0.217932434689294,0.345973841892798
"RNU6-141P",0.0040000001899898,0.30799999833107,0.0390000008046627,3,0,"Pseudogene","RNU6",0.288493786699308,0.19066616412217,0.0348273439531657,0.413049907527078,-0.0197266141646277
"RNU6-142P",0.0219999998807907,0.305000007152557,0.0489999987185001,3,0,"Pseudogene","RNU6",0.214345058147429,0.151106459729939,0.0321093745600653,0.33940731125567,-0.0574768858335806
"RNU6-143P",0.0160000007599592,0.30799999833107,0.808000028133392,17,0,"Pseudogene","RNU6",-0.637057158267443,-0.243357567027309,0.0121589055979038,0.486716347216357,1.08905575415139
"RNU6-144P",0.00700000021606683,-0.0199999995529652,0.0040000001899898,1,0,"Pseudogene","RNU6",0.651475959386656,0.018703393660677,0.0368421286645398,-0.00509667335706563,0.151774116201239
"RNU6-145P",0.0719999969005585,0.146999999880791,0.200000002980232,2,0,"Pseudogene","RNU6",0.01949547205499,-0.109856970784392,0.0218253776919726,-0.028335830746194,0.127271319735458
"RNU6-146P",0.0020000000949949,-0.191500000655651,-0.849500000476837,115,0,"Pseudogene","RNU6",1.81858381079236,0.410200771046527,0.0632942488223461,-0.339734100660939,-0.976776296822057
"RNU6-147P",0.0390000008046627,0.168999999761581,-0.34400001168251,1,0,"Pseudogene","RNU6",0.741082951958069,0.255294568062391,0.0412193164607077,0.0431891530832949,-0.597747452300559
"RNU6-148P",0.639999985694885,0.446000009775162,0.406499996781349,0,0,"Pseudogene","RNU6",-2.59585103651491,-1.07755899861284,-0.0627406858172557,-1.88833805992662,-1.50580340660453
"RNU6-14P",0.00700000021606683,-0.1875,0.0900000035762787,2,0,"Pseudogene","RNU6",0.723331737760781,-0.122029249611387,0.0352408710404449,-0.196155321229414,0.39872290497869
"RNU6-150P",0.00800000037997961,-0.212999999523163,0.00999999977648258,2,0,"Pseudogene","RNU6",0.837306161564714,-0.0950808493909237,0.0374263115846947,-0.244033617763369,0.294697619254747
"RNU6-151P",0.0120000001043081,-0.261999994516373,0.0480000004172325,2,0,"Pseudogene","RNU6",0.829010591518744,-0.150440853106601,0.0360542458336543,-0.313761190155376,0.37387203236109
"RNU6-152P",0.00800000037997961,0.305000007152557,0.00300000002607703,1,0,"Pseudogene","RNU6",0.318258669147069,0.200837844893922,0.0352626156328483,0.387903688673726,-0.0834416044694336
"RNU6-153P",0.00300000002607703,-0.157000005245209,0.456999987363815,2,0,"Pseudogene","RNU6",0.286329288091521,-0.295516778870315,0.0255263490555616,-0.0845258844928333,0.935535691866836
"RNU6-154P",0.0344999991357326,0.30799999833107,0.801499992609024,0,0,"Pseudogene","RNU6",-0.696614711789422,-0.276058766629121,0.00959747845657332,0.413466704502819,1.02235291348781
"RNU6-155P",0.0020000000949949,-0.184499993920326,0.0815000012516975,2,0,"Pseudogene","RNU6",0.748281432035431,-0.106731901408652,0.0361438827621957,-0.173962892888831,0.399153466256774
"RNU6-156P",0.00100000004749745,-0.319000005722046,0.453999996185303,5,0,"Pseudogene","RNU6",0.461819493245417,-0.381208717353394,0.0266532716951082,-0.275245475550512,1.05227332626687
"RNU6-157P",0.0230000000447035,0.437999993562698,-0.158000007271767,1,0,"Pseudogene","RNU6",0.312640186651374,0.335652675258954,0.0370548693431572,0.465138610117141,-0.463136210846978
"RNU6-158P",0.00500000012107193,0.305000007152557,0.0455000009387732,4,0,"Pseudogene","RNU6",0.280412276840254,0.183830327648945,0.0345379633985318,0.406364265393037,-0.0109206635735135
"RNU6-159P",0.199000000953674,0.00650000013411045,0.0474999994039536,1,0,"Pseudogene","RNU6",-0.126583799233159,-0.336190547608614,0.00932793437116289,-0.729194531314346,-0.386444283895858
"RNU6-160P",0.0450000017881393,0.293000012636185,0.025000000372529,8,0,"Pseudogene","RNU6",0.16989125377949,0.116615409170545,0.0297514876154057,0.229076110075762,-0.154443624990152
"RNU6-161P",0.00100000004749745,-0.148499999195337,0.00700000021606683,0,0,"Pseudogene","RNU6",0.800742920029865,-0.0447695252320311,0.0381466917138349,-0.137704663436623,0.265660294630223
"RNU6-162P",0.028999999165535,0.0230000000447035,0.448000013828278,1,0,"Pseudogene","RNU6",0.0185530263969394,-0.236161691387507,0.0214001327449615,0.0306935103734799,0.715226525445886
"RNU6-163P",0.0020000000949949,-0.0499999988824129,-0.213500000536442,2,0,"Pseudogene","RNU6",0.949482974614086,0.128254412628012,0.0436716476025625,-0.0565971562480428,-0.135431790839253
"RNU6-164P",0.106499999761581,0.159999996423721,0.194000005722046,2,0,"Pseudogene","RNU6",-0.112861829326553,-0.161527182823035,0.0172252114819308,-0.150581026792228,0.00414649619928387
"RNU6-165P",0.0020000000949949,-0.157000005245209,-0.377999991178513,0,0,"Pseudogene","RNU6",1.24694343206841,0.156252074431428,0.0486674083750485,-0.213389850702571,-0.304434172258716
"RNU6-166P",0.0040000001899898,0.30799999833107,0.0439999997615814,0,0,"Pseudogene","RNU6",0.282862921368641,0.18747027616587,0.0346511881093349,0.414083346238829,-0.0124147295173884
"RNU6-167P",0.0040000001899898,-0.155500002205372,0.0435000006109476,29,0,"Pseudogene","RNU6",0.754123142305413,-0.0689872245910597,0.03713213075993,-0.154664343864378,0.317097056595686
"RNU6-168P",0.00100000004749745,-0.136000007390976,-0.195999994874001,0,0,"Pseudogene","RNU6",1.02065782446244,0.0717578707096545,0.0436890695853588,-0.154763887685163,-0.0453844164540509
"RNU6-169P",0.0810000002384186,-0.241999998688698,0.754999995231628,0,0,"Pseudogene","RNU6",-0.253494310042389,-0.645241505097783,0.00702482919688182,-0.450903563164779,1.20204935167177
"RNU6-16P",0.114000000059605,0.0549999997019768,0.0689999982714653,5,0,"Pseudogene","RNU6",0.109739744499013,-0.166400751413271,0.0201630017261206,-0.328853985067654,-0.130079235781738
"RNU6-170P",0.025000000372529,0.284000009298325,0.0300000011920929,1,0,"Pseudogene","RNU6",0.246596841800181,0.143757008715654,0.0322936511138703,0.298949704998784,-0.080067921367858
"RNU6-171P",0.00499999988824129,-0.118000000715256,0.0089999996125698,6,5.48,"Pseudogene","RNU6",0.752608218205436,-0.0348506144011327,0.0374300740765771,-0.116495795366146,0.235080881951944
"RNU6-172P",0.0020000000949949,-0.112999998033047,0.00700000021606683,5,0,"Pseudogene","RNU6",0.760801714113109,-0.0257083003519029,0.0379133716947388,-0.0986963791764737,0.237637894989228
"RNU6-173P",0.0020000000949949,-0.325499996542931,0.46000000834465,3,7.7,"Pseudogene","RNU6",0.457972293053473,-0.39024441542602,0.026279079842996,-0.286051853971047,1.06268970966906
"RNU6-174P",0.0285000000149012,-0.133500002324581,0.0320000005885959,0,4.71,"Pseudogene","RNU6",0.656391673009697,-0.0993968791195731,0.0335908692827124,-0.224736479474926,0.208558616528861
"RNU6-175P",0.0089999996125698,0.305000007152557,0.0390000008046627,0,0,"Pseudogene","RNU6",0.273383986770671,0.179453201347531,0.0341205198829622,0.389740670268944,-0.032940499143533
"RNU6-176P",0.00700000021606683,0.266999989748001,0.017000000923872,7,0,"Pseudogene","RNU6",0.344336880901933,0.17464742543853,0.0352613678805881,0.347201244719488,-0.0323257038240748
"RNU6-177P",0.00750000029802322,0.279000014066696,-0.339499995112419,2,0,"Pseudogene","RNU6",0.739007858427988,0.371937427233229,0.0449077245554408,0.303488762884832,-0.573244599917655
"RNU6-178P",0.0130000002682209,0.307000011205673,-0.142000004649162,13,0,"Pseudogene","RNU6",0.463733312365254,0.273139300200132,0.0387236648056284,0.346423531904468,-0.315387902676434
"RNU6-179P",0.0930000022053719,0.293000012636185,0.685000002384186,8,0,"Pseudogene","RNU6",-0.761768503988742,-0.325905915260788,0.00499940451102262,0.143348258989226,0.681948299331459
"RNU6-17P",0.129000000655651,0.0549999997019768,0.0900000035762787,4,0,"Pseudogene","RNU6",0.0309224344754994,-0.204953779872307,0.0175246045834452,-0.385071386222197,-0.144501119530389
"RNU6-180P",0.0020000000949949,-0.214000001549721,-0.337999999523163,1,0,"Pseudogene","RNU6",1.25907271426573,0.102682017324718,0.0478348509749594,-0.276749191527387,-0.20439072238676
"RNU6-181P",0.395999997854233,0.282999992370605,0.00700000021606683,13,0,"Pseudogene","RNU6",-1.08143175846799,-0.511731281419696,-0.0175298810169065,-1.18201141436496,-1.24183858677838
"RNU6-182P",0.00700000021606683,-0.0339999999850988,0.00450000003911554,19,0,"Pseudogene","RNU6",0.664554687275741,0.0135304462682349,0.0371211952508685,-0.0235466781655329,0.163240247526539
"RNU6-183P",0.178000003099442,0.105999998748302,0.12899999320507,0,0,"Pseudogene","RNU6",-0.244498285190811,-0.286273527895942,0.00948210735503259,-0.511051863978801,-0.27190494930755
"RNU6-184P",0.00100000004749745,0.242499999701977,0,0,0,"Pseudogene","RNU6",0.410894085120507,0.179648867448014,0.0365704364523277,0.338965199715223,-0.0222908551259126
"RNU6-185P",0.017000000923872,0.188999995589256,0.0329999998211861,0,0,"Pseudogene","RNU6",0.369079771383944,0.102796537881742,0.033719482049457,0.215229392707558,0.016124994639374
"RNU6-187P",0.502499997615814,0.221499994397163,0.317499998956919,0,0,"Pseudogene","RNU6",-1.76322077693131,-0.908184469022832,-0.0405110034802831,-1.63013140770548,-1.0605893114301
"RNU6-188P",0.097000002861023,0.30799999833107,0.816999971866608,2,0,"Pseudogene","RNU6",-0.94271294783339,-0.396841555556077,0.00066861652462263,0.167272167666453,0.855356099356376
"RNU6-189P",0.0160000007599592,-0.111000001430511,0.776000022888184,2,0,"Pseudogene","RNU6",-0.173527714646575,-0.465042113711586,0.0147462687120942,-0.0291949581446219,1.33817457623151
"RNU6-18P",0.221000000834465,0.0850000008940697,0.0900000035762787,6,0,"Pseudogene","RNU6",-0.335683434871632,-0.353669877624174,0.00486281777035821,-0.714370558614339,-0.445617865027362
"RNU6-190P",0.0359999984502792,0.446000009775162,0.053999999538064,7,0,"Pseudogene","RNU6",0.0138730414194103,0.203385573991144,0.0294744129018617,0.456518271622936,-0.192536499355901
"RNU6-191P",0.046000000089407,0.177999995648861,0.0279999999329448,8,0,"Pseudogene","RNU6",0.279821816319642,0.0482983251514525,0.030052704129795,0.0850529017359237,-0.0713936208041014
"RNU6-192P",0.0089999996125698,0.325000002980232,0.0109999999403954,0,0,"Pseudogene","RNU6",0.285120073322884,0.205839113814987,0.0348022853687611,0.409719970221457,-0.0888154070871536
"RNU6-193P",0.0199999995529652,-0.046000000089407,0.00100000004749745,0,0,"Pseudogene","RNU6",0.633923752933332,-0.0179706594832982,0.0352561882963358,-0.0889554577911321,0.126167205853133
"RNU6-194P",0.0179999992251396,0.0120000001043081,-0.122000001370907,7,0,"Pseudogene","RNU6",0.722933991646389,0.085864055954968,0.0387483052784087,-0.0302742701450414,-0.0917005685857979
"RNU6-195P",0.0040000001899898,-0.225999996066093,0.625999987125397,11,0,"Pseudogene","RNU6",0.158921169560224,-0.42589758643793,0.0211557171618055,-0.14660988159442,1.23342376483128
"RNU6-196P",0.0350000001490116,-0.268999993801117,0.0359999984502792,8,0,"Pseudogene","RNU6",0.765684129636678,-0.188415220294358,0.0333555120200417,-0.416150274736056,0.291262293205028
"RNU6-197P",0.123500000685453,0.347000002861023,0.796999990940094,3,0,"Pseudogene","RNU6",-1.0562978948313,-0.411690527624287,-0.00255888067902826,0.106297619662614,0.717320660364426
"RNU6-198P",0.0364999994635582,0.311000004410744,0.811999976634979,2,0,"Pseudogene","RNU6",-0.719070894775564,-0.28330349202137,0.00904694418421376,0.410694808330907,1.02985527311736
"RNU6-199P",0.231000006198883,0.152999997138977,0.425999999046326,5,0,"Pseudogene","RNU6",-0.826418748911882,-0.514702385329404,-0.0060891527932702,-0.617441618044979,-0.0242056579165589
"RNU6-19P",0.0140000004321337,0.215000003576279,0,3,0,"Pseudogene","RNU6",0.391298214578934,0.141176513455776,0.0349595418105473,0.253435262305804,-0.0421931005305547
"RNU6-2",0.99099999666214,2.47699999809265,3.4210000038147,60,1.75,"Functional","RNU6",-9.40104814639836,-2.18036246388002,-0.202213244662024,-0.326745407535519,0.474476559915323
"RNU6-200P",0.210999995470047,0.23199999332428,0.430999994277954,2,0,"Pseudogene","RNU6",-0.83939153550679,-0.437235891078788,-0.00389419730237121,-0.440351912055168,-0.0121178749847039
"RNU6-201P",0.0240000002086162,0.30799999833107,0.0489999987185001,5,0,"Pseudogene","RNU6",0.203921693767199,0.149524144111135,0.0318484403617967,0.334962968433183,-0.065604090285066
"RNU6-202P",0.995999991893768,0.87950000166893,1.74049997329712,2,0,"Pseudogene","RNU6",-5.8659988852532,-2.19426112072643,-0.150038851001695,-2.56178608474085,-0.910840721492112
"RNU6-203P",0.0769999995827675,0.30799999833107,0.0750000029802322,0,0,"Pseudogene","RNU6",-0.01928130290997,0.0390524942241646,0.0238368080820724,0.128766792725002,-0.188372662347745
"RNU6-204P",0.0020000000949949,-0.237000003457069,-0.00300000002607703,16,0,"Pseudogene","RNU6",0.898077320729402,-0.0884579142015493,0.0388905499479893,-0.252680886692275,0.311247171113076
"RNU6-205P",0.112999998033047,0.30799999833107,0.700999975204468,0,0,"Pseudogene","RNU6",-0.868149856978822,-0.363483995219696,0.00165963647382657,0.0853364746956282,0.633919090120544
"RNU6-206P",0.00700000021606683,-0.213500000536442,-0.22350000590086,0,0,"Pseudogene","RNU6",1.10912033584524,0.0320297020129501,0.0439796657716583,-0.277702162990129,-0.0495646739315956
"RNU6-207P",0.141000002622604,0.30799999833107,0.785000026226044,0,0,"Pseudogene","RNU6",-1.06667723187414,-0.459298567688503,-0.00447720115061541,-0.0126144693876817,0.673765951793624
"RNU6-208P",0.0020000000949949,-0.144999995827675,0.046000000089407,6,0,"Pseudogene","RNU6",0.748637667248299,-0.0646314470329849,0.036995267049421,-0.131666098214557,0.318447849396499
"RNU6-209P",0.0109999999403954,0.30799999833107,-0.0130000002682209,2,0,"Pseudogene","RNU6",0.32255174085254,0.20591338091961,0.0352937974530045,0.37701381191463,-0.118471430778676
"RNU6-20P",0.0040000001899898,-0.0610000006854534,0.0450000017881393,8,0,"Pseudogene","RNU6",0.656936935204414,-0.0199657384319022,0.0363953790273749,-0.0372912734725759,0.251338391334962
"RNU6-210P",0.416999995708466,0.202000007033348,0.034000001847744,1,0,"Pseudogene","RNU6",-1.1062523133875,-0.611884860888976,-0.0209260605148625,-1.35923890520904,-1.20857008113677
"RNU6-211P",0.017000000923872,0.470999985933304,0.0140000004321337,2,0,"Pseudogene","RNU6",0.103832074364099,0.272509969609985,0.0329929375104811,0.55663665678143,-0.212233266057148
"RNU6-212P",0.121500000357628,0.214000001549721,0.45100000500679,2,0,"Pseudogene","RNU6",-0.517113044497254,-0.29671099429026,0.00784609344333162,-0.103301932513783,0.302732877367488
"RNU6-213P",0.042000001296401,0.303000003099442,0.0419999994337559,4,0,"Pseudogene","RNU6",0.151322832962277,0.117837062798743,0.0295956475761444,0.256247718969088,-0.127283418486502
"RNU6-214P",0.0700000002980232,0.30799999833107,0.0140000004321337,0,0,"Pseudogene","RNU6",0.0761898432616595,0.0845772781781381,0.0264742567515506,0.146883357303343,-0.257875695613548
"RNU6-215P",0.0285000000149012,0.118000000715256,0.597000002861023,0,0,"Pseudogene","RNU6",-0.247008619238989,-0.26216964134762,0.0169161427582517,0.17257898055662,0.871064699902568
"RNU6-216P",0.0489999987185001,0.237000003457069,0.460999995470047,17,0,"Pseudogene","RNU6",-0.287679669314323,-0.155829187982277,0.0175486150012756,0.213476807001248,0.522527938134809
"RNU6-217P",0.0040000001899898,0.30799999833107,0.0260000005364418,0,0,"Pseudogene","RNU6",0.30349061490733,0.1971772931138,0.0351476459975202,0.411216321814231,-0.0392083256824335
"RNU6-218P",0.0209999997168779,0.30799999833107,-0.028999999165535,3,0,"Pseudogene","RNU6",0.30433133627562,0.196667223770407,0.0343835465243856,0.334625481662527,-0.172669361807988
"RNU6-219P",0.00800000037997961,0.277999997138977,0.0659999996423721,0,0,"Pseudogene","RNU6",0.273569213999712,0.151460532488933,0.0336344409679637,0.365024463129146,0.0294569730574053
"RNU6-21P",0.097000002861023,0.0769999995827675,0.0900000035762787,2,0,"Pseudogene","RNU6",0.125475843451173,-0.135140491591597,0.0217653018989233,-0.2307956109723,-0.0628439050858839
"RNU6-220P",0.0020000000949949,0.291999995708466,-0.875,1,0,"Pseudogene","RNU6",1.35957408463759,0.677813272765316,0.0603561341716933,0.256027671179903,-1.36289134670304
"RNU6-221P",0.034000001847744,0.30799999833107,0.00700000021606683,1,0,"Pseudogene","RNU6",0.215661921538584,0.153466739351226,0.0315915435413209,0.288828445107653,-0.158721855390152
"RNU6-222P",0.0179999992251396,0.165500000119209,-0.19200000166893,22,0,"Pseudogene","RNU6",0.646460232976941,0.212731933040961,0.0401756233788931,0.144961228908966,-0.304198143340087
"RNU6-223P",0.0560000017285347,-0.119999997317791,0.0469999983906746,3,0,"Pseudogene","RNU6",0.524926598048027,-0.148984608076642,0.0294491023704126,-0.315429476621441,0.137765644382342
"RNU6-224P",0.0509999990463257,0.30799999833107,-0.0149999996647239,1,0,"Pseudogene","RNU6",0.178784260425768,0.134660980994738,0.0298790206588576,0.217730869026487,-0.243192069336071
"RNU6-225P",0.00700000021606683,0.27700001001358,-0.23199999332428,2,0,"Pseudogene","RNU6",0.619675985904657,0.313738404104984,0.0420200326747914,0.320155396677968,-0.410286428983434
"RNU6-226P",0.449999988079071,0.239999994635582,0.0359999984502792,16,0,"Pseudogene","RNU6",-1.26823350421133,-0.648558007424305,-0.0254641020032561,-1.44488202512596,-1.33231393768846
"RNU6-227P",0.00700000021606683,0.331999987363815,-0.00300000002607703,1,0,"Pseudogene","RNU6",0.301312451196113,0.221113865929067,0.0354423531688931,0.423916888908396,-0.108494863160739
"RNU6-228P",0.0149999996647239,0.214000001549721,0.462000012397766,5,9,"Pseudogene","RNU6",-0.140845810077372,-0.109999767103758,0.0220216664488768,0.321664644043794,0.643265100795099
"RNU6-229P",0.0020000000949949,-0.0955000016838312,-0.0834999978542328,1,0,"Pseudogene","RNU6",0.846837731122701,0.0323057755417838,0.0402792608921428,-0.0914108570727959,0.0903297914064884
"RNU6-22P",0.128000006079674,0.146999999880791,0.200000002980232,3,0,"Pseudogene","RNU6",-0.185067029011203,-0.21072073367618,0.0141980627126447,-0.251075645337698,-0.0430650905445779
"RNU6-230P",0.0120000001043081,-0.284999996423721,0.00549999997019768,5,7.04,"Pseudogene","RNU6",0.901020698293544,-0.139996403603309,0.0372991087869055,-0.348873773093036,0.32706659533571
"RNU6-231P",0.635999977588654,0.528999984264374,0.486000001430511,0,0,"Pseudogene","RNU6",-2.75680588002952,-1.06637786018765,-0.0647632399929896,-1.75834867332832,-1.43420828939513
"RNU6-232P",0.109499998390675,0.30799999833107,0.0474999994039536,0,0,"Pseudogene","RNU6",-0.106466889317841,-0.00475096037500038,0.0201613199756407,-0.00483614414751489,-0.328188562449414
"RNU6-233P",0.0469999983906746,0.152999997138977,0.184000000357628,2,0,"Pseudogene","RNU6",0.123033558561503,-0.0527398930875381,0.0256502656370231,0.075849556295422,0.17525847726148
"RNU6-234P",0.00700000021606683,0.30799999833107,-0.131499998271465,1,0,"Pseudogene","RNU6",0.472992988588391,0.276867858111134,0.0390951138246824,0.374122587516776,-0.282736205975607
"RNU6-235P",0.398999989032745,0.19200000166893,0.0230000000447035,4,0,"Pseudogene","RNU6",-1.01782818577825,-0.578622337515318,-0.0180834316139393,-1.30187802862065,-1.1629501626249
"RNU6-236P",0.0135000003501773,0.238000005483627,0.606000006198883,3,0,"Pseudogene","RNU6",-0.324745510564991,-0.171745324890106,0.0182095957657607,0.380051457591025,0.845053889570356
"RNU6-237P",0.0040000001899898,-0.150999993085861,0.0160000007599592,12,0,"Pseudogene","RNU6",0.781619866611024,-0.0544481500210738,0.0376534899456264,-0.15220246219995,0.272227207081165
"RNU6-238P",0.0464999992400408,0.303000003099442,0.534999996423721,3,0,"Pseudogene","RNU6",-0.430049172906349,-0.156312352009342,0.015371533401214,0.316958975045634,0.592828601898737
"RNU6-239P",0.0299999993294477,0.214000001549721,-0.0780000016093254,1,0,"Pseudogene","RNU6",0.42333151682578,0.153477170900722,0.0349070087088768,0.176330202580102,-0.206356066997733
"RNU6-23P",0.0040000001899898,0.118000000715256,0.200000002980232,3,0,"Pseudogene","RNU6",0.297329226765662,-0.0033757541189951,0.0312465766455157,0.206522201632119,0.35478904440096
"RNU6-240P",0.00700000021606683,0.28999999165535,0.172000005841255,0,0,"Pseudogene","RNU6",0.143536458184548,0.102872756887078,0.030792983641796,0.400547604829915,0.181766415507812
"RNU6-241P",0.0590000003576279,0.261000007390976,-0.00349999975878745,1,0,"Pseudogene","RNU6",0.184212840570262,0.0875040286904483,0.0286830819594385,0.130321969759586,-0.217053390716602
"RNU6-242P",0.307000011205673,0.261999994516373,0.046000000089407,9,0,"Pseudogene","RNU6",-0.779568331718195,-0.384713658850746,-0.0064192706954483,-0.847273027090928,-0.898271967194204
"RNU6-243P",0.0040000001899898,0.0140000004321337,-0.120999999344349,0,0,"Pseudogene","RNU6",0.771116334326429,0.110545458789507,0.040532437764677,0.028547209655168,-0.0493417923848585
"RNU6-244P",0.00100000004749745,-0.351000010967255,-0.00950000016018748,142,0,"Pseudogene","RNU6",1.02102171618016,-0.126500537606744,0.041328657651129,-0.398998928767751,0.391024047176623
"RNU6-245P",0.180000007152557,0.30799999833107,0.745999991893768,1,0,"Pseudogene","RNU6",-1.16445704096215,-0.508460537036547,-0.00870955059387093,-0.173972711358253,0.497099202954751
"RNU6-246P",0.0799999982118607,0.30799999833107,-0.0040000001899898,3,0,"Pseudogene","RNU6",0.0601953811167113,0.0767426793419893,0.0256446687130566,0.104018447119362,-0.314963503430655
"RNU6-247P",0.00800000037997961,0.0309999994933605,0.097000002861023,6,0,"Pseudogene","RNU6",0.489185962338092,-0.00364157244774815,0.0339736366601785,0.0676648873377067,0.251183422975338
"RNU6-248P",0.0109999999403954,0.293000012636185,-0.0659999996423721,0,0,"Pseudogene","RNU6",0.398618440740811,0.225697583298556,0.0367979663183955,0.350400722908,-0.186803899910634
"RNU6-249P",0.025000000372529,0.0570000000298023,0.12300000153482,3,0,"Pseudogene","RNU6",0.370943279234267,-0.034160266776899,0.0307813216363339,0.0362206000353936,0.219577236530182
"RNU6-24P",0.0309999994933605,0.146999999880791,0.200000002980232,2,0,"Pseudogene","RNU6",0.169240239461909,-0.0358884035225636,0.0274189956431813,0.134683646656845,0.252013793977603
"RNU6-250P",0.00100000004749745,-0.275000005960464,-0.244000002741814,2,0,"Pseudogene","RNU6",1.21704151603155,0.0195377904653775,0.045667449945982,-0.332419206772569,-0.0180847713754412
"RNU6-251P",0.00800000037997961,0.0445000007748604,0.0634999983012676,2,0,"Pseudogene","RNU6",0.513971238083938,0.0213763994909385,0.0347855097838982,0.0791415012730754,0.191560893831646
"RNU6-252P",0.549000024795532,0.492000013589859,0.77700001001358,1,0,"Pseudogene","RNU6",-2.73491888611391,-1.08706315050778,-0.0607397513877495,-1.41137058139865,-0.710041665245108
"RNU6-253P",0.00800000037997961,-0.090999998152256,0.00800000037997961,2,0,"Pseudogene","RNU6",0.715454321105362,-0.0251570231136066,0.0369294088127978,-0.0952735352470361,0.205125072025977
"RNU6-254P",0.0160000007599592,0.149000003933907,0.0410000011324883,2,0,"Pseudogene","RNU6",0.404201063730236,0.0780472011577903,0.0338417691837845,0.171443450879175,0.059554903600479
"RNU6-255P",0.229000002145767,0.0549999997019768,0.155000001192093,3,0,"Pseudogene","RNU6",-0.408764611691629,-0.420584548881002,0.00207611799779366,-0.772247740550786,-0.352040020286792
"RNU6-256P",0.0160000007599592,0.150000005960464,0.200000002980232,0,0,"Pseudogene","RNU6",0.221038219009317,-0.007466809818755,0.0294263652032728,0.198148821995014,0.295434695721346
"RNU6-257P",0.0125000001862645,-0.0804999992251396,0.00700000021606683,1,0,"Pseudogene","RNU6",0.689513412216058,-0.0269775370841403,0.0362827920594197,-0.100415644758257,0.182448808929449
"RNU6-258P",0.0040000001899898,0.0130000002682209,0.00800000037997961,2,0,"Pseudogene","RNU6",0.624236064523739,0.0407471921166337,0.0370045151404918,0.047714233834076,0.14347597360746
"RNU6-259P",0.068000003695488,0.30799999833107,-0.0040000001899898,0,0,"Pseudogene","RNU6",0.104122149254944,0.0978925127714671,0.0272435736442605,0.151968489279929,-0.278584305066506
"RNU6-25P",0.0020000000949949,-0.293999999761581,0,6,0,"Pseudogene","RNU6",0.952971143383543,-0.123906143303944,0.0389382358394644,-0.321064396130998,0.355735379976943
"RNU6-260P",0.00499999988824129,-0.0780000016093254,0.063000001013279,2,0,"Pseudogene","RNU6",0.650153756107201,-0.0420690496096035,0.0357629167281314,-0.0586995006823932,0.28689451345401
"RNU6-261P",0.026999999769032,0.446000009775162,0.0270000007003546,0,0,"Pseudogene","RNU6",0.0779164949736815,0.233017612749466,0.0313577148923279,0.488555596068192,-0.205649554222706
"RNU6-262P",0.0109999999403954,-0.263000011444092,-0.0899999979883432,4,0,"Pseudogene","RNU6",0.991760116190025,-0.0744475941821427,0.0400268786292915,-0.333145631240944,0.172293952875228
"RNU6-263P",0.270000010728836,0.30799999833107,0.815999984741211,2,0,"Pseudogene","RNU6",-1.57341692048627,-0.708413589305556,-0.0229061445614681,-0.520749857151874,0.327515136798017
"RNU6-264P",0.0399999991059303,0.301999986171722,0.00150000007124618,1,0,"Pseudogene","RNU6",0.206156413939334,0.142222268664567,0.0309518118831076,0.256764159106962,-0.180904974395037
"RNU6-266P",0.294999986886978,0.30799999833107,0.813000023365021,0,0,"Pseudogene","RNU6",-1.66122068698293,-0.752231515198954,-0.0262596428564376,-0.620471691501053,0.246899991691234
"RNU6-267P",0.0439999997615814,0.163000002503395,0.446999996900558,1,0,"Pseudogene","RNU6",-0.17754575375936,-0.183681308912675,0.0187477514794494,0.14196680124296,0.568728606846682
"RNU6-268P",0.0199999995529652,-0.0219999998807907,0.0320000015199184,3,0,"Pseudogene","RNU6",0.573877496689286,-0.020645474894878,0.0343308254087922,-0.0549279017009601,0.155407339785876
"RNU6-269P",0.00499999988824129,-0.061999998986721,-0.0729999989271164,3,0,"Pseudogene","RNU6",0.789693273718355,0.0404682467445945,0.0394542803975289,-0.0608891781881938,0.0731408074838187
"RNU6-26P",0.0560000017285347,0.125,0.200000002980232,103,0,"Pseudogene","RNU6",0.0969843921335127,-0.0765895906384836,0.0253955853500293,0.000418024600398893,0.195969793794306
"RNU6-270P",0.0040000001899898,-0.0480000004172325,0.0270000007003546,2,0,"Pseudogene","RNU6",0.664534289613805,-0.00392173872331861,0.0367565085997247,-0.0237987827769814,0.215055845466347
"RNU6-271P",0.0109999999403954,0.164000004529953,0.200000002980232,1,0,"Pseudogene","RNU6",0.225020755073158,0.00962052337010396,0.030057912503213,0.235057619252879,0.300753603972072
"RNU6-272P",0.0419999994337559,-0.195000000298023,0.0489999987185001,3,0,"Pseudogene","RNU6",0.650084918428092,-0.167128512997417,0.0316433407654083,-0.351092426198032,0.236572640946851
"RNU6-273P",0.517999976873398,0.209000006318092,0.409000009298325,2,0,"Pseudogene","RNU6",-1.91203538240931,-0.992212985750498,-0.0450672579998911,-1.69261906559096,-0.962587523998366
