GeneName,GeneGroup,Transcript_ID,EnsemblID,NCBI_Accession,Chromosome,Start,End
RNU6-437P,outliers,ENST00000459408.1,ENSG00000238420,NG_044029,chr6,107930088,107930182
RNU6-450P,outliers,ENST00000364654.1,ENSG00000201524,NG_044235,chr17,59847438,59847544
RNU6-457P,outliers,ENST00000363999.1,ENSG00000200869,NG_045708,chr16,6873899,6874005
RNU6-458P,outliers,ENST00000384179.1,ENSG00000206906,NG_044259,chr14,18343038,18343144
RNU6-465P,outliers,ENST00000384420.1,ENSG00000207149,NG_044276,chr1,120126974,120127074
RNU6-46P,outliers,ENST00000383860.1,ENSG00000206587,NR_046497,chr11,67895631,67895737
RNU6-473P,outliers,ENST00000516164.1,ENSG00000251973,NG_045737,chr2,130497743,130497849
RNU6-482P,outliers,ENST00000391068.1,ENSG00000212370,NG_008481,chr5,112778363,112778469
RNU6-484P,outliers,ENST00000384016.1,ENSG00000206743,NG_044198,chr5,37700331,37700437
RNU6-490P,outliers,ENST00000362985.1,ENSG00000199855,NG_045767,chr10,27088321,27088427
RNU6-499P,outliers,ENST00000365615.1,ENSG00000202485,NG_044246,chr4,82174547,82174653
RNU6-510P,outliers,ENST00000391239.1,ENSG00000212541,NG_044412,chr1,37991462,37991569
RNU6-513P,outliers,ENST00000516104.1,ENSG00000251913,NG_045837,chr22,42569147,42569250
RNU6-516P,outliers,ENST00000411381.1,ENSG00000223313,NG_044306,chr15,40529570,40529673
RNU6-537P,outliers,ENST00000517277.1,ENSG00000253086,NG_044393,chr1,11152350,11152452
RNU6-543P,outliers,ENST00000362576.1,ENSG00000199446,NG_044418,chr10,63110139,63110246
RNU6-544P,outliers,ENST00000363276.1,ENSG00000200146,NG_044495,chr11,80527960,80528066
RNU6-553P,outliers,ENST00000364047.1,ENSG00000200917,NG_045176,chr4,105406997,105407092
RNU6-558P,outliers,ENST00000364512.1,ENSG00000201382,NG_045885,chr12,116782105,116782208
RNU6-56P,outliers,ENST00000516986.1,ENSG00000252795,NR_046930,chr13,38779424,38779516
RNU6-602P,outliers,ENST00000411155.2,ENSG00000223087,NG_028349,chr14,31662039,31662143
RNU6-604P,outliers,ENST00000390917.1,ENSG00000212219,NG_045184,chr7,151900275,151900374
RNU6-628P,outliers,ENST00000410675.1,ENSG00000222607,NG_042999,chr8,123262843,123262949
RNU6-631P,outliers,ENST00000363920.1,ENSG00000200790,NG_045959,chr15,21866210,21866316
RNU6-648P,outliers,ENST00000410190.1,ENSG00000222122,NG_044786,chrX,115032427,115032533
RNU6-649P,outliers,ENST00000384463.1,ENSG00000207192,NG_044795,chr2,4945277,4945383
RNU6-650P,outliers,ENST00000365658.1,ENSG00000202528,NG_045197,chr7,149033057,149033167
RNU6-656P,outliers,ENST00000516785.1,ENSG00000252594,NG_044821,chr8,46831050,46831156
RNU6-666P,outliers,ENST00000363499.1,ENSG00000200369,NG_044619,chr10,27315120,27315226
RNU6-693P,outliers,ENST00000516134.1,ENSG00000251943,NG_044873,chr1,172613428,172613534
RNU6-696P,outliers,ENST00000390834.1,ENSG00000212136,NG_042909,chr21,37045530,37045636
RNU6-703P,outliers,ENST00000516946.1,ENSG00000252755,NG_042930,chr8,98048856,98048962
RNU6-708P,outliers,ENST00000384217.1,ENSG00000206944,NG_044635,chr18,48169784,48169890
RNU6-716P,outliers,ENST00000365621.1,ENSG00000202491,NG_042989,chr1,200008505,200008607
RNU6-720P,outliers,ENST00000516363.1,ENSG00000252172,NG_043008,chr3,149917342,149917449
RNU6-729P,outliers,ENST00000384399.1,ENSG00000207128,NG_042918,chr8,10476223,10476329
RNU6-73P,outliers,ENST00000384600.1,ENSG00000207330,NG_044010,chr13,27828763,27828869
RNU6-743P,outliers,ENST00000364151.1,ENSG00000201021,NG_044655,chr20,43405473,43405578
RNU6-749P,outliers,ENST00000459351.1,ENSG00000238489,NG_045936,chr15,20855251,20855357
RNU6-751P,outliers,ENST00000516382.1,ENSG00000252191,NG_043120,chr19,53749851,53749951
RNU6-756P,outliers,ENST00000383997.1,ENSG00000206724,NG_045330,chr8,124260646,124260752
RNU6-758P,outliers,ENST00000516292.2,ENSG00000252101,NG_042993,chr16,75286712,75286800
RNU6-759P,outliers,ENST00000516740.1,ENSG00000252549,NG_045023,chr20,35647328,35647430
RNU6-760P,outliers,ENST00000516078.2,ENSG00000251887,NG_045279,chr5,31832439,31832535
RNU6-777P,outliers,ENST00000364265.1,ENSG00000201135,NG_043057,chr1,12077881,12077984
RNU6-781P,outliers,ENST00000516377.1,ENSG00000252186,NG_043230,chr12,6709452,6709552
RNU6-785P,outliers,ENST00000411324.1,ENSG00000223256,NG_043250,chr9,138259595,138259698
RNU6-789P,outliers,ENST00000517105.1,ENSG00000252914,NG_045379,chr3,136721394,136721495
RNU6-816P,outliers,ENST00000390914.1,ENSG00000212216,NG_045291,chr22,15701459,15701565
RNU6-822P,outliers,ENST00000362707.1,ENSG00000199577,NG_043390,chr3,20268965,20269070
RNU6-830P,outliers,ENST00000516353.1,ENSG00000252162,NG_044720,chr1,55398514,55398620
RNU6-839P,outliers,ENST00000363347.1,ENSG00000200217,NG_043223,chr10,109239639,109239746
RNU6-842P,outliers,ENST00000384269.1,ENSG00000206996,NG_043235,chr8,13044350,13044456
RNU6-848P,outliers,ENST00000515948.1,ENSG00000251757,NG_045464,chr2,130622838,130622944
RNU6-855P,outliers,ENST00000410395.1,ENSG00000222327,NG_043496,chr9,112137797,112137900
RNU6-857P,outliers,ENST00000515893.1,ENSG00000251702,NG_044739,chr18,30984106,30984215
RNU6-884P,outliers,ENST00000363889.1,ENSG00000200759,NG_043606,chr1,151022746,151022852
RNU6-9,outliers,ENST00000384776.1,ENSG00000207507.1,NR_104080.1,chr19,893484,893590
RNU6-903P,outliers,ENST00000391270.1,ENSG00000212572,NG_043376,chr18,9617964,9618072
RNU6-913P,outliers,ENST00000390913.1,ENSG00000212215,NG_045438,chr5,61664145,61664239
RNU6-927P,outliers,ENST00000516199.1,ENSG00000252008,NG_043746,chr12,124901512,124901611
RNU6-951P,outliers,ENST00000362733.1,ENSG00000199603,NG_043501,chr2,38147415,38147521
RNU6-956P,outliers,ENST00000458868.1,ENSG00000239030,NG_045015,chr7,94712409,94712511
RNU6-969P,outliers,ENST00000383900.1,ENSG00000206627,NG_043880,chr1,52805108,52805212
RNU6-976P,outliers,ENST00000516086.1,ENSG00000251895,NG_043570,chr14,84739942,84740052
RNU6-980P,outliers,ENST00000516925.1,ENSG00000252734,NG_043578,chr19,53732981,53733083
RNU6-982P,outliers,ENST00000516216.1,ENSG00000252025,NG_043402,chr19,53745004,53745105
RNU6-985P,outliers,ENST00000410182.1,ENSG00000222114,NG_043927,chrX,137687891,137687994
RNU6-987P,outliers,ENST00000384759.1,ENSG00000207490,NG_045643,chr6,25383599,25383702
RNU6-988P,outliers,ENST00000519081.1,ENSG00000253437,NG_045646,chr8,38122374,38122480
RNU6-991P,outliers,ENST00000516168.1,ENSG00000251977,NG_043949,chr1,8292157,8292263
RNU6-994P,outliers,ENST00000410507.1,ENSG00000222439,NG_043962,chr20,63337339,63337449
RNU6ATAC10P,outliers,ENST00000408635.1,ENSG00000221562,NG_045726,chr5,129974891,129975001
RNU6ATAC11P,outliers,ENST00000408541.1,ENSG00000221468,NG_042984,chr10,43341786,43341910
RNU6ATAC15P,outliers,ENST00000408279.1,ENSG00000221206,NG_044516,chr3,110551845,110551965
RNU6ATAC16P,outliers,ENST00000408591.1,ENSG00000221518,NG_044409,chr3,52560570,52560707
RNU6ATAC18P,outliers,ENST00000408413.1,ENSG00000221340,NG_044417,chr1,12569972,12570072
RNU6ATAC20P,outliers,ENST00000408436.1,ENSG00000221363,NG_044146,chr18,22130603,22130729
RNU6ATAC21P,outliers,ENST00000408656.1,ENSG00000221583,NG_044426,chr6,10222036,10222161
RNU6ATAC23P,outliers,ENST00000408448.1,ENSG00000221375,NG_043019,chrX,139885481,139885603
RNU6ATAC25P,outliers,ENST00000408798.1,ENSG00000221725,NG_033116,chr16,70852698,70852814
RNU6ATAC26P,outliers,ENST00000388106.1,ENSG00000210841,NG_044151,chr3,57619447,57619572
RNU6ATAC27P,outliers,ENST00000408289.1,ENSG00000221216,NG_045288,chr1,28481362,28481480
RNU6ATAC29P,outliers,ENST00000408088.1,ENSG00000221015,NG_043037,chr3,51611438,51611562
RNU6ATAC2P,outliers,ENST00000387943.1,ENSG00000210678,NG_007720,chr5,56297564,56297689
RNU6ATAC30P,outliers,ENST00000408187.1,ENSG00000221114,NG_044524,chr14,49684544,49684665
RNU6ATAC31P,outliers,ENST00000408513.1,ENSG00000221440,NG_045013,chr4,88206427,88206552
RNU6ATAC33P,outliers,ENST00000408647.1,ENSG00000221574,NG_043056,chr11,10399192,10399317
RNU6ATAC34P,outliers,ENST00000408879.1,ENSG00000221806,NG_044460,chr20,18611047,18611167
RNU6ATAC37P,outliers,ENST00000408328.1,ENSG00000221255,NG_044469,chr2,7576841,7576971
RNU6ATAC38P,outliers,ENST00000408119.1,ENSG00000221046,NG_044477,chr20,45778698,45778823
RNU6ATAC3P,outliers,ENST00000387974.1,ENSG00000210709,NG_007721,chr17,46921124,46921249
RNU6ATAC41P,outliers,ENST00000408600.1,ENSG00000221527,NG_044533,chr8,100739802,100739927
RNU6ATAC4P,outliers,ENST00000387446.1,ENSG00000210181,NG_007722,chr3,36968191,36968316
RNU6ATAC5P,outliers,ENST00000388104.1,ENSG00000210839,NG_007723,chr4,73026748,73026873
RNU6ATAC6P,outliers,ENST00000408132.1,ENSG00000221059,NG_044367,chr3,87910220,87910345
RNU6ATAC7P,outliers,ENST00000408111.1,ENSG00000221038,NG_044373,chr17,31563768,31563894
RNU6ATAC8P,outliers,ENST00000408460.1,ENSG00000221387,NG_042978,chr8,102421197,102421322
RNU6V,outliers,ENST00000384105.1,ENSG00000206832,NG_009877,chr1,109591534,109591640
RNU7-1,outliers,ENST00000458811.1,ENSG00000238923.1,NR_023317.1,chr12,6943816,6943878
RNU7-10P,outliers,ENST00000607194.1,ENSG00000271841,NG_007597,chr3,17664963,17665025
RNU7-115P,outliers,ENST00000516433.1,ENSG00000252242,NG_045931,chr17,64825765,64825819
RNU7-128P,outliers,ENST00000517247.1,ENSG00000253056,NG_044319,chr3,48180328,48180389
RNU7-172P,outliers,ENST00000517125.1,ENSG00000252934,NG_044396,chr2,54166944,54167007
RNU7-180P,outliers,ENST00000459240.1,ENSG00000238374,NG_044411,chr5,146245191,146245253
RNU7-190P,outliers,ENST00000459241.1,ENSG00000239185,NG_044874,chr2,117139715,117139775
RNU7-33P,outliers,not found,not found,NG_007627,chr4,3078484,3078542
RNU7-35P,outliers,ENST00000517174.1,ENSG00000252983,NG_007629,chr7,43194421,43194482
RNU7-36P,outliers,not found,not found,NG_007630,chr9,34018266,34018320
RNU7-40P,outliers,ENST00000516397.1,ENSG00000252206,NG_007634,chr12,56352387,56352450
RNU7-41P,outliers,ENST00000515917.1,ENSG00000251726,NG_007635,chr14,34845300,34845360
RNU7-49P,outliers,ENST00000516182.1,ENSG00000251991,NG_007643,chr11,14478892,14478953
RNU7-99P,outliers,ENST00000516271.1,ENSG00000252080,NG_045789,chr16,6748908,6748969
RNVU1-14,outliers,ENST00000384770.1,ENSG00000207501,NR_104075,chr1,145281116,145281279
RNVU1-15,outliers,ENST00000384476.1,ENSG00000207205,NR_104076,chr1,144412576,144412740
RNVU1-19,outliers,ENST00000613023.1,ENSG00000275538,NR_104086,chr1,120850819,120850985
RNVU1-21,outliers,ENST00000365538.2,ENSG00000202408,NG_043425,chr1,148334612,148334767
RNVU1-22,outliers,ENST00000363009.1,ENSG00000199879,NG_044643,chr1,148263476,148263632
RNVU1-6,outliers,ENST00000364688.1,ENSG00000201558,NR_104085,chr1,146052081,146052244
RNVU1-7,outliers,ENST00000383858.1,ENSG00000206585,NR_004426,chr1,148038753,148038916
RNVU1-8,outliers,ENST00000651973.1,ENSG00000286172,NR_121645,chr1,147084616,147084756
RNY1P1,outliers,ENST00000364372.1,ENSG00000201242,NG_032587,chr13,27402476,27402587
RNY1P10,outliers,ENST00000363268.1,ENSG00000200138,NG_044326,chr16,28183318,28183430
RNY1P9,outliers,ENST00000532431.1,ENSG00000255156,NG_033992,chr22,20475203,20475311
RNY3P10,outliers,ENST00000384764.1,ENSG00000207495,NG_032600,chr13,69802940,69803041
RNY3P16,outliers,ENST00000516338.1,ENSG00000252147,NG_045036,chrX,119456558,119456658
RNY3P6,outliers,not found,not found,NG_032595,chr13,99536319,99536396
RNY3P8,outliers,ENST00000411366.1,ENSG00000223298,NG_043982,chr13,95310830,95310955
RNY4P16,outliers,ENST00000364768.2,ENSG00000201638,NG_021236,chr1,234837976,234838069
RNY4P24,outliers,ENST00000362735.1,ENSG00000199605,NG_047168,chr13,52400004,52400099
RNY4P34,outliers,ENST00000364779.1,ENSG00000201649,NG_045038,chr2,200373175,200373269
SNORA70,outliers,ENST00000384436.1,ENSG00000207165,NR_000011,chrX,154400281,154400415
SNORD13,outliers,ENST00000459299.1,ENSG00000239039,NR_003041,chr8,33513475,33513578
SNORD41,outliers,ENST00000386967.1,ENSG00000209702,NR_002751,chr19,12706449,12706518
TRA-AGC15-1,outliers,not found,not found,not found,chr14,88979098,88979170
TRA-AGC23-1,outliers,not found,not found,NG_008526,chr6,28778767,28778838
TRA-AGC9-1,outliers,not found,not found,not found,chr6,26730534,26730606
TRA-TGC10-1,outliers,not found,not found,NG_008527,chr11,60996036,60996105
TRA-TGC9-1,outliers,not found,not found,NG_008587,chr6,28634082,28634153
TRC-GCA14-1,outliers,not found,not found,not found,chr17,38861684,38861755
TRC-GCA25-1,outliers,not found,not found,NG_008503,chr3,17699900,17699972
TRC-GCA7-1,outliers,not found,not found,not found,chr1,93516277,93516349
TRD-GTC10-1,outliers,not found,not found,NG_012066,chr1,161523145,161523216
TRD-GTC2-1,outliers,not found,not found,not found,chr1,161440825,161440896
TRD-GTC2-2,outliers,not found,not found,not found,chr1,161448243,161448314
TRD-GTC2-3,outliers,not found,not found,not found,chr1,161455624,161455695
TRD-GTC2-4,outliers,not found,not found,not found,chr1,161463034,161463105
TRD-GTC2-5,outliers,not found,not found,not found,chr1,161470415,161470486
TRE-CTC1-2,outliers,not found,not found,not found,chr1,161447228,161447299
TRE-CTC1-3,outliers,not found,not found,not found,chr1,161454608,161454679
TRE-CTC1-4,outliers,not found,not found,not found,chr1,161462019,161462090
TRE-CTC1-5,outliers,not found,not found,not found,chr1,161469399,161469470
TRE-CTC1-6,outliers,not found,not found,not found,chr6,28982199,28982270
TRE-CTC11-1,outliers,not found,not found,NG_008546,chr8,11935871,11935942
TRE-CTC12-1,outliers,not found,not found,NG_008496,chr3,104160680,104160751
TRE-CTC13-1,outliers,not found,not found,NG_008516,chr2,95551446,95551517
TRE-CTC14-1,outliers,not found,not found,NG_008506,chr8,69160105,69160179
TRE-CTC15-1,outliers,not found,not found,NG_008585,chr2,71046358,71046430
TRE-CTC4-1,outliers,not found,not found,NG_008564,chr13,57884416,57884487
TRE-CTC9-1,outliers,not found,not found,NG_008552,chr2,150362763,150362835
TRE-TTC10-1,outliers,not found,not found,NG_008510,chr1,145176839,145177111
TRE-TTC14-1,outliers,not found,not found,NG_008543,chr1,147078630,147078701
TRE-TTC15-1,outliers,not found,not found,NG_008542,chr6,162788982,162789050
TRE-TTC4-2,outliers,not found,not found,not found,chr1,161422093,161422164
TRE-TTC6-1,outliers,not found,not found,NG_008523,chr1,148308922,148308993
TRE-TTC7-1,outliers,not found,not found,NG_008514,chr1,143666988,143667059
TRG-CCC4-1,outliers,not found,not found,not found,chr1,16678271,16678341
TRG-CCC5-1,outliers,not found,not found,not found,chr1,16727285,16727355
TRG-CCC7-1,outliers,not found,not found,NG_029429,chr2,11551701,11551772
TRG-GCC1-4,outliers,not found,not found,not found,chr1,161465468,161465538
TRG-GCC2-1,outliers,not found,not found,not found,chr1,161523847,161523917
TRG-TCC2-2,outliers,not found,not found,not found,chr1,161447585,161447656
TRG-TCC2-3,outliers,not found,not found,not found,chr1,161454966,161455037
TRG-TCC2-4,outliers,not found,not found,not found,chr1,161462376,161462447
TRG-TCC2-5,outliers,not found,not found,not found,chr1,161469757,161469828
TRG-TCC2-6,outliers,not found,not found,not found,chr1,161531113,161531184
TRG-TCC4-1,outliers,not found,not found,not found,chr1,161440171,161440242
TRK-CTT13-1,outliers,not found,not found,NG_008599,chr1,165596913,165596985
TRK-CTT14-1,outliers,not found,not found,NG_008525,chr16,3196153,3196225
TRK-CTT5-1,outliers,not found,not found,not found,chr16,3180554,3180626
TRK-CTT6-1,outliers,not found,not found,not found,chr18,46089305,46089377
TRK-CTT7-1,outliers,not found,not found,not found,chr1,54957869,54957941
TRK-CTT9-1,outliers,not found,not found,not found,chr5,26198430,26198502
TRK-TTT14-1,outliers,not found,not found,NG_008572,chr14,73588825,73588897
TRK-TTT2-1,outliers,not found,not found,not found,chr11,122559947,122560019
TRK-TTT7-1,outliers,not found,not found,not found,chr6,28747744,28747816
TRK-TTT8-1,outliers,not found,not found,not found,chr1,205474143,205474215
TRL-AAG1-1,outliers,not found,not found,not found,chr5,181097474,181097555
TRL-AAG1-2,outliers,not found,not found,not found,chr5,181101840,181101921
TRL-CAA5-1,outliers,not found,not found,not found,chr11,9275243,9275316
TRL-CAA6-1,outliers,not found,not found,not found,chr1,161611946,161612029
TRL-CAA7-1,outliers,not found,not found,NG_052602,chr10,34302488,34302555
TRL-CAG1-1,outliers,not found,not found,not found,chr1,161441533,161441615
TRL-CAG1-2,outliers,not found,not found,not found,chr1,161448951,161449033
TRL-CAG1-3,outliers,not found,not found,not found,chr1,161456332,161456414
TRL-CAG1-4,outliers,not found,not found,not found,chr1,161463742,161463824
TRL-CAG1-5,outliers,not found,not found,not found,chr1,161471123,161471205
TRL-CAG1-6,outliers,not found,not found,not found,chr1,161530342,161530424
TRL-TAA4-1,outliers,not found,not found,not found,chr6,27230555,27230637
TRMT112P8,outliers,ENST00000417397.2,ENSG00000233388,NG_028854,chr22,35501861,35503586
TRN-GTT1-1,outliers,not found,not found,not found,chr1,161540241,161540314
TRN-GTT2-7,outliers,not found,not found,not found,chr1,145287766,145287839
TRN-GTT2-8,outliers,not found,not found,not found,chr1,144567515,144567588
TRP-AGG1-1,outliers,not found,not found,not found,chr16,3191989,3192060
TRP-AGG2-6,outliers,not found,not found,not found,chr14,20613401,20613472
TRP-AGG2-7,outliers,not found,not found,not found,chr16,3182635,3182706
TRP-AGG5-1,outliers,not found,not found,NG_008540,chr2,77668467,77668537
TRP-AGG6-1,outliers,not found,not found,NG_008534,chr16,3152608,3152679
TRP-GGG1-1,outliers,not found,not found,NG_008512,chr10,22563650,22563722
TRQ-CTG1-3,outliers,not found,not found,not found,chr6,28941601,28941672
TRQ-CTG9-1,outliers,not found,not found,NG_008589,chr1,148353561,148353632
TRQ-TTG8-1,outliers,not found,not found,NG_008563,chr19,9039680,9039752
TRQ-TTG9-1,outliers,not found,not found,NG_008567,chr12,97096913,97096986
TRR-CCT6-2,outliers,not found,not found,NG_008505,chr1,148011059,148011129
TRR-CCT8-1,outliers,not found,not found,NG_008560,chr1,149756721,149756791
TRS-ACT1-1,outliers,not found,not found,NG_008584,chr6,27293892,27293965
TRS-AGA7-1,outliers,not found,not found,NG_008545,chr20,31500900,31500971
TRS-GCT6-1,outliers,not found,not found,not found,chr6,26305490,26305573
TRSUP-CTA2-1,outliers,not found,not found,NG_008498,chr3,13792389,13792456
TRSUP-CTA3-1,outliers,not found,not found,NG_008528,chr14,78234495,78234567
TRT-CGT5-1,outliers,not found,not found,not found,chr6,27618356,27618429
TRU-TCA2-1,outliers,not found,not found,NG_000872,chr22,44150657,44150740
TRUND-NNN1-1,outliers,not found,not found,NG_062450,chr6,26749199,26749272
TRUND-NNN3-1,outliers,not found,not found,NG_034183,chr1,161420871,161420943
TRUND-NNN5-1,outliers,not found,not found,NG_032814,chr17,68394816,68394890
TRV-AAC1-3,outliers,not found,not found,not found,chr5,181169610,181169682
TRV-AAC6-1,outliers,not found,not found,not found,chr6,28735429,28735500
TRV-CAC1-2,outliers,not found,not found,not found,chr5,181097070,181097142
TRV-CAC1-3,outliers,not found,not found,not found,chr5,181102253,181102325
TRV-CAC11-1,outliers,not found,not found,NG_008544,chr1,16547665,16547737
TRV-CAC11-2,outliers,not found,not found,NG_008537,chr1,16860198,16860270
TRV-CAC13-1,outliers,not found,not found,NG_008558,chr1,16725566,16725638
TRV-CAC8-1,outliers,not found,not found,not found,chr1,143800041,143800111
TRY-ATA1-1,outliers,not found,not found,not found,chr2,218245826,218245918
TRY-GTA11-1,outliers,not found,not found,NG_008565,chr7,149356654,149356729
VTRNA1-1,outliers,ENST00000363120.1,ENSG00000199990,NR_026703,chr5,140711275,140711373
VTRNA2-1,outliers,ENST00000602301.2,ENSG00000270123,NR_030583,chr5,136080470,136080597
